REPORTCALENDARORQUARTER,FILINGMANAGER_NAME,VALUE,YearMonth,Consumer_Confidence,CPI,GDP,USYC2Y10,PMI,Unemployment,US10YRBond,QuarterLabel,Total Current Assets,Cash and Short Term Investments,Cash & Equivalents,Short Term Investments,Receivables,Inventory_x,Other Current Assets,Total Assets,Total Non-Current Assets,"Property, Plant and Equipment",Goodwill and Intangible Assets,Goodwill,Intangible Assets,Long Term Investments,Deferred Tax Assets,Other Long Term Assets,Total Current Liabilities,Accounts Payable_x,Notes Payable/Short Term Debt,Tax Payables,Deferred Revenue_x,Other Current Liabilities,Total Liabilities,Total Non-Current Liabilities,Total Long Term Debt,Deferred Tax Liabilities Non-Current,Deferred Revenue Non-Current,Capital Lease Obligations,Other Long Term Liabilities,Total Equity,Non-Controlling Interest,Total Stockholders' Equity,Retained Earnings,Accumulated Other Earnings,Common Stock,Preferred Stock,Additional Paid in Capital,Total Liabilities & Total Equity,Total Liabilities & Shareholders' Equity,Total Investments,Total Debt,Net Debt,Net Income/Starting Line,Cash From Operating Activities,Depreciation and Amortization_x,Deferred Income Tax,Stock Based Compensation,Other Non-Cash Items,Changes in Working Capital,Accounts Receivable,Inventory_y,Accounts Payable_y,Deferred Revenue_y,Other Working Capital,Cash From Investing Activities,Investments in Property Plant and Equipment,Payments for Acquisitions,Purchases of Securities,Sales and Maturities of Investments,Other Investing Activities,Cash From Financing Activities,Debt Repayment,Common Stock Issued,Common Stock Repurchased,Dividends Paid,Other Financing Activities,Effect of Forex Changes on Cash,Net Change in Cash,Cash at Beginning of Period,Cash at End of Period,Free Cash Flow,Operating Cash Flow,Capital Expenditure,Revenue,Cost of Revenue,Gross Profit, Operating Expenses ,Research & Development,"Selling, General and Administrative",Other Operating Expenses,Operating Income,Net Non-Operating Interest,Interest Income,Interest Expense,Equity & Other Income/(Expense),Income Before Tax,Income Tax Expense,Income Attributable to Non-Controlling Interest,Net Income,Depreciation and Amortization_y,EBITDA,Earnings Per Share (EPS),Diluted Earnings Per Share,Weighted Average Shares Outstanding,Diluted Weighted Average Shares Outstanding
2022-09-30,"Cambridge Investment Research Advisors, Inc.",260233,2022-09-01,107.8,8.2,2.7,45.425,51.1,3.5,3.8286,2022(Q3),"131,463","58,662","34,947","23,715","36,154","36,647",0,"428,362","296,899","239,228","20,168","20,168",0,0,0,"37,503","140,363","67,760",0,0,"12,629","59,974","290,873","150,510","128,251",0,0,"69,332","-47,073","137,489",0,"137,489","82,915","-7,115",107,0,"61,582","428,362","428,362","23,715","128,251","93,304","2,872","11,404","10,204",-825,"5,556","-1,149","-5,254","-4,794",732,"-1,226",34,0,"-15,608","-16,378",-885,-239,557,"1,337","3,016","3,016",0,0,0,0,"-1,334","-2,522","37,700","35,178","-4,974","11,404","-16,378","127,101","70,268","56,833","54,308","19,485","14,075","20,748","2,525",-340,277,617,759,"2,944",69,3,"2,872","10,327","12,852",0.28,0.28,"10,191","10,331"
2022-12-31,"Cambridge Investment Research Advisors, Inc.",190353,2022-12-01,109.0,6.5,3.4,55.723,48.0,3.6,3.8748,2022(Q4),"146,791","70,026","53,888","16,138","42,360","34,405",0,"462,675","315,884","252,838","26,385","20,288","6,097",0,0,"36,661","155,393","79,600",0,0,"13,227","62,566","316,632","161,239","140,118",0,0,"72,968","-51,847","146,043",0,"146,043","83,193","-4,487",108,0,"67,229","462,675","462,675","16,138","140,118","86,230",278,"29,173","12,685","-3,367","5,606","3,445","10,526","-8,788","3,180","9,852","6,282",0,"-10,821","-16,592",-831,-233,"5,683","1,152",86,"5,276",0,"6,000",0,"-5,190",637,"19,075","35,178","54,253","12,581","29,173","-16,592","149,204","85,640","63,564","60,827","20,814","16,151","23,862","2,737",-249,445,694,"-3,450",-962,"-1,227",-13,278,"13,145","15,882",0.03,0.03,"10,220","10,308"
2023-03-31,"Cambridge Investment Research Advisors, Inc.",230792,2023-03-01,104.0,5.0,2.8,-56.174,46.3,3.5,3.4676,2023(Q1),"136,221","64,405","49,343","15,062","37,646","34,170",0,"464,378","328,157","259,016","22,749","22,749",0,0,0,"46,392","147,570","66,907",0,0,"14,281","66,382","309,852","162,282","141,351",0,0,"74,267","-53,336","154,526",0,"154,526","86,365","-3,973",108,0,"72,026","464,378","464,378","15,062","141,351","92,008","3,172","4,788","11,123",-472,"4,748",534,"-14,317","1,521",371,"-11,264","-4,945",0,"-15,806","-14,207","-3,513",-338,"1,115","1,137","6,354","-2,823",0,0,0,"9,177",145,"-4,519","54,253","49,734","-9,419","4,788","-14,207","127,358","67,791","59,567","54,793","20,450","13,215","21,128","4,774",-212,611,823,-443,"4,119",948,-1,"3,172","11,123","15,897",0.31,0.31,"10,250","10,347"
2023-06-30,"Cambridge Investment Research Advisors, Inc.",296051,2023-06-01,110.1,3.0,2.4,-106.297,46.3,3.6,3.8367,2023(Q2),"140,482","63,970","49,529","14,441","39,925","36,587",0,"477,607","337,125","264,116","22,785","22,785",0,0,0,"50,224","148,238","69,481",0,0,"14,522","64,235","309,005","160,767","138,914",0,0,"75,822","-53,969","168,602",0,"168,602","93,115","-3,680",108,0,"79,059","477,607","477,607","14,441","138,914","89,385","6,750","16,476","11,589","-2,744","7,127",47,"-6,293","-5,167","-2,373","3,029","-1,782",0,"-9,673","-11,455",-316,-496,"1,551","1,043","-6,539","-6,539",0,0,0,0,69,333,"49,734","50,067","5,021","16,476","-11,455","134,383","69,373","65,010","57,329","21,931","13,947","21,451","7,681",-179,661,840,61,"7,563",804,9,"6,750","11,589","19,270",0.66,0.65,"10,285","10,449"
2023-09-30,"Cambridge Investment Research Advisors, Inc.",289655,2023-09-01,104.3,3.7,4.4,-47.662,48.9,3.7,4.5711,2023(Q3),"142,995","64,169","49,605","14,564","43,420","35,406",0,"486,883","343,888","267,226","22,749","22,749",0,0,0,"53,913","145,214","72,004",0,0,"14,398","58,812","303,910","158,696","136,989",0,0,"75,891","-54,184","182,973",0,"182,973","102,994","-5,003",108,0,"84,874","486,883","486,883","14,564","136,989","87,384","9,879","21,217","12,131","-1,196","5,829",-990,"-4,436","-6,718",808,"2,820","-1,346",0,"-11,753","-12,479","-1,629",-219,"1,393","1,181","-8,948","-8,948",0,0,0,0,-502,14,"50,067","50,081","8,738","21,217","-12,479","143,083","75,022","68,061","56,873","21,203","13,112","22,558","11,188",-30,776,806,"1,031","12,189","2,306",4,"9,879","12,131","23,319",0.96,0.94,"10,322","10,558"
2023-12-31,"Cambridge Investment Research Advisors, Inc.",350861,2023-12-01,108.0,3.4,3.2,-37.288,46.9,3.8,3.8791,2023(Q4),"172,351","86,780","73,387","13,393","52,253","33,318",0,"527,854","355,503","276,690","30,476","22,789","7,687",0,0,"48,337","164,917","84,981",0,0,"15,227","64,709","325,979","161,062","135,611",0,0,"77,297","-51,846","201,875",0,"201,875","113,618","-3,040",109,0,"91,188","527,854","527,854","13,393","135,611","62,224","10,624","42,465","13,820","-1,464","6,319",-339,"13,505","2,016","2,643","10,888","-2,042",0,"-12,601","-14,588",-381,-435,"1,568","1,235","-6,746","-6,746",0,0,0,0,691,"23,809","50,081","73,890","27,877","42,465","-14,588","169,961","92,553","77,408","64,199","22,038","15,912","26,249","13,209",188,901,713,289,"13,686","3,062",0,"10,624","13,820","27,029",1.03,1,"10,356","10,610"
2024-03-31,"Cambridge Investment Research Advisors, Inc.",418591,2024-03-01,103.1,3.5,1.6,-42.173,49.8,3.8,4.2003,2024(Q1),"163,989","85,074","72,852","12,222","47,768","31,147",0,"530,969","366,980","283,263","22,770","22,770",0,0,0,"60,947","152,965","73,068",0,0,"15,927","63,970","314,308","161,343","134,686",0,0,"77,052","-50,395","216,661",0,"216,661","124,049","-3,598",109,0,"96,101","530,969","530,969","12,222","134,686","61,834","10,431","18,989","11,684",-938,"4,961","2,734","-9,883","3,684","1,776","-11,282","-4,061",0,"-17,862","-14,925","-3,354","-1,965","1,392",990,"-1,256","-1,256",0,0,0,0,-429,-558,"73,890","73,332","4,064","18,989","-14,925","143,313","72,633","70,680","55,373","20,424","12,404","22,545","15,307",349,993,644,"-2,673","12,983","2,467",85,"10,431","11,684","26,991",1,0.98,"10,393","10,670"
2024-06-30,"Cambridge Investment Research Advisors, Inc.",449069,2024-06-01,97.8,3.0,3,-35.946,48.3,4.0,4.3961,2024(Q2),"173,307","89,092","71,178","17,914","50,106","34,109",0,"554,818","381,511","295,292","22,879","22,879",0,0,0,"63,340","158,172","81,817",0,0,"16,004","60,351","318,371","160,199","132,973",0,0,"78,084","-50,858","236,447",0,"236,447","137,534","-3,993",110,0,"102,796","554,818","554,818","17,914","132,973","61,795","13,485","25,281","12,038",-785,"6,722",-95,"-6,084","-2,209","-3,085","6,005","-6,795",0,"-22,138","-17,620",-571,"-8,439","3,265","1,227","-4,490","-4,490",0,0,0,0,-312,"-1,659","73,332","71,673","7,661","25,281","-17,620","147,977","73,785","74,192","59,520","22,304","13,553","23,663","14,672",591,"1,180",589,-18,"15,245","1,767",-7,"13,485","12,038","26,710",1.29,1.26,"10,447","10,708"
2024-09-30,"Cambridge Investment Research Advisors, Inc.",438760,2024-09-01,99.2,2.4,3.1,13.779,47.5,4.2,3.7809,2024(Q3),"175,792","88,051","75,091","12,960","51,638","36,103",0,"584,626","408,834","314,444","23,081","23,081",0,0,0,"71,309","161,477","84,570",0,0,"16,305","60,602","325,475","163,998","134,692",0,0,"79,802","-50,496","259,151",0,"259,151","152,862","-1,918",110,0,"108,097","584,626","584,626","12,960","134,692","59,601","15,328","25,971","13,442","-1,317","5,333",-141,"-6,674",-701,"-1,509",-477,"-3,987",0,"-16,899","-22,620",-622,"-3,068","8,069","1,342","-2,758","-2,680",0,0,0,-78,690,"7,004","71,673","78,677","3,351","25,971","-22,620","158,877","80,977","77,900","60,489","22,245","13,322","24,922","17,411",653,"1,256",603,-27,"18,037","2,706",3,"15,328","13,442","30,853",1.46,1.43,"10,501","10,735"
2024-12-31,"Cambridge Investment Research Advisors, Inc.",517714,2024-12-01,109.5,2.9,2.4,32.529,49.2,4.2,4.569,2024(Q4),"190,867","101,202","78,779","22,423","55,451","34,214",0,"624,894","434,027","328,806","31,676","23,074","8,602",0,0,"73,545","179,431","94,363",0,0,"18,103","66,965","338,924","159,493","130,900",0,0,"78,277","-49,684","285,970",0,"285,970","172,866",-34,111,0,"113,027","624,894","624,894","22,423","130,900","52,121","20,004","45,636","15,631","-1,608","4,995",-486,"7,100","-4,023",934,"8,726","1,463",0,"-37,443","-27,834","-2,535","-12,533","3,677","1,782","-3,308","-3,555",0,0,0,247,"-1,250","3,635","78,677","82,312","17,802","45,636","-27,834","187,792","98,893","88,899","67,696","23,571","15,987","28,138","21,203",678,"1,248",570,468,"22,349","2,325",20,"20,004","15,631","36,834",1.91,1.86,"10,473","10,721"
